lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
8.47644E+20,2022,Nieto-Meyers-Malgin,COL,line,5on5,5,1522,22,0.63,0.53,0.6,15.24,1.32,1.1,3.52,0.48,8.6,5.98,1.31,1.38,1.37,16,5,5,26,1,0,0,1,0,8,11,15,20,1,2,13,7,2,0,16,3,2,0.42,0.41,0.49,0,0,1,26.74,21,21.37,0,0.23,0,0,1.55,1.61,1.6,10.31,0.77,0.74,2.55,0.33,5.62,3.98,0.77,0.77,0.77,11,3,9,23,1,0,0,2,0,3,8,10,13,2,4,9,11,5,1,11,3,0,0.35,0.42,0,0,1,0,23.04,14,13.68,1,0.15,0,0,0.92,0.93,0.92
8.47698E+20,2022,Pitlick-Suzuki-Anderson,MTL,line,5on5,11,2891,112,0.27,0.36,0.35,17.43,1.64,1.2,4.09,0.6,10.01,7.47,1.58,1.57,1.52,15,10,8,33,1,1,0,3,0,10,10,14,24,3,6,21,24,6,15,20,3,2,0.64,0.51,0.48,1,0,0,31.55,25,24.15,8,0.25,0.26,0.26,1.63,1.58,1.53,35.59,4.41,2.4,7.92,1.14,17.07,13.05,4.11,4.63,4.31,30,16,12,58,5,6,1,5,1,12,17,25,41,3,6,22,14,8,5,26,12,8,0.83,1.52,2.06,1,3,1,61.16,46,47.88,4,0.51,1.55,1.55,3.37,3.53,3.47
8.47735E+20,2022,Kelly-Gambrell-Motte,OTT,line,5on5,6,2009,35,0.24,0.35,0.33,9.84,0.65,0.56,2.31,0.3,5.01,4.17,0.64,0.66,0.65,9,4,7,20,0,1,0,3,2,3,4,9,13,4,8,10,38,0,7,11,1,1,0.28,0.1,0.27,0,0,0,20.43,13,12.95,5,0.11,0.27,0.27,0.49,0.48,0.48,19.71,2.09,1.34,4.63,0.63,10.53,7.79,1.81,2.1,1.81,20,7,10,37,2,2,0,4,0,13,6,18,25,3,6,11,32,1,2,20,3,4,0.7,0.4,1,2,0,0,37.77,27,27.3,1,0.27,0.58,0.58,1.79,1.77,1.71
8.47743E+13,2022,Harpur-Schneider,NYR,pairing,5on5,41,25766,130,0.39,0.43,0.43,175.98,13.6,11.47,43.9,5.76,93.93,69.34,13.09,13.85,13.33,172,66,97,335,14,12,2,32,8,98,74,158,224,14,37,177,207,64,80,185,45,8,5.56,5.74,2.3,6,6,2,344.19,238,243.7,49,2.38,2.84,2.84,13.15,13.43,13.21,231.66,21.14,15.44,57.03,7.74,124,89.65,19.34,20.79,19.07,227,88,134,449,15,23,0,23,3,140,111,212,300,36,81,193,211,47,66,229,64,22,6.83,8.11,6.21,8,3,4,438.25,315,310.18,36,3.21,5.03,5.03,19.32,19.05,18.36
8.47793E+20,2022,Balcers-Bennett-Reinhart,FLA,line,5on5,4,1668,13,0.78,0.63,0.64,20.18,2.87,1.42,5.17,0.77,9.76,7.01,2.75,2.89,2.77,23,4,6,33,0,5,0,3,1,13,5,23,27,4,8,16,13,1,10,17,3,7,0.51,0.31,2.05,0,0,0,33.37,27,27.37,6,0.3,1.63,1.63,1.55,1.54,1.49,11.14,0.79,0.62,2.7,0.33,5.96,4.6,0.76,0.79,0.76,12,3,4,19,1,1,1,2,1,5,5,11,14,3,6,20,23,0,5,12,2,1,0.24,0.27,0.28,0,0,1,19.14,15,15.02,3,0.13,0.28,0.28,0.64,0.63,0.63
8.47891E+13,2022,Anderson-Roy,LAK,pairing,5on5,49,1917,333,0.33,0.34,0.38,12.35,1,0.74,2.98,0.39,6.57,5.31,1,1.04,1.03,14,3,4,21,3,0,0,2,0,3,9,11,14,2,4,6,11,3,4,11,6,0,0.22,0.78,0,0,3,0,21.3,17,17.23,3,0.15,0,0,1.15,1.19,1.19,20.93,2.06,1.38,5,0.69,10.48,8.39,1.86,2.12,1.9,22,6,12,40,3,3,0,5,1,6,10,19,25,1,2,5,19,3,6,19,6,3,0.59,0.78,0.7,1,1,1,39.36,28,27.88,4,0.28,0.67,0.67,1.67,1.72,1.65
8.47637E+20,2022,Robinson-Kuraly-Marchenko,CBJ,line,5on5,16,791,212,0.41,0.33,0.41,5.45,0.75,0.38,1.2,0.18,2.41,2.08,0.74,0.77,0.77,7,0,1,8,0,0,0,0,0,3,4,7,7,0,0,4,9,0,2,4,1,2,0.15,0.11,0.49,0,0,0,7.99,7,6.94,1,0.08,0,0.28,0.55,0.56,0.56,7.87,1.07,0.52,2.03,0.24,3.39,2.74,1.01,1.09,1.04,9,1,6,16,1,1,0,1,0,2,5,8,9,1,2,8,4,3,2,5,4,1,0.12,0.59,0.36,0,1,0,16.71,10,10.35,1,0.11,0.36,0.36,0.82,0.83,0.83
8.47886E+20,2022,Boldy-Steel-Kaprizov,MIN,line,5on5,9,1693,103,0.59,0.67,0.65,16.79,1.15,1.07,3.88,0.57,9.7,7.64,1.13,1.14,1.13,16,8,10,34,1,0,0,5,0,9,9,15,23,3,6,12,5,2,3,18,6,0,0.54,0.61,0,1,0,0,32.84,24,23.26,2,0.22,0,0,1.37,1.35,1.34,9.41,0.79,0.59,2.43,0.31,5.22,3.65,0.78,0.78,0.77,11,2,4,17,1,1,0,3,0,4,4,10,12,3,6,16,13,6,2,11,1,1,0.41,0.14,0.24,1,0,0,17.01,13,13.25,2,0.12,0.24,0.24,0.67,0.68,0.67
8.47794E+20,2022,Tkachuk-Bennett-White,FLA,line,5on5,2,915,6,0.45,0.55,0.57,10.07,0.7,0.51,2.44,0.28,4.73,4.34,0.7,0.7,0.7,11,2,5,18,0,0,0,3,0,3,7,11,13,3,6,5,6,3,2,10,2,1,0.2,0.29,0.21,0,0,0,17.35,13,12.7,0,0.11,0,0,0.81,0.81,0.8,7.67,0.84,0.66,1.53,0.23,4.05,2.69,0.84,0.84,0.84,8,2,5,15,2,0,0,2,0,2,4,6,8,1,2,17,2,1,3,4,6,0,0.2,0.65,0,2,0,0,15.92,10,10.33,0,0.14,0,0,0.98,0.98,0.98
8.47405E+20,2022,Eklund-Couture-Labanc,SJS,line,5on5,2,1059,4,0.69,0.58,0.65,11.52,1.16,0.83,3.19,0.39,5.68,3.75,1.13,1.1,1.07,11,4,4,19,0,2,0,1,1,6,5,11,15,4,8,16,14,4,3,10,3,2,0.29,0.39,0.48,0,0,0,17.88,15,14.02,0,0.18,0.22,0.22,1.12,1.06,1.03,5.68,0.53,0.43,1.23,0.18,3.36,2.27,0.53,0.58,0.57,4,4,6,14,0,0,0,0,0,2,6,4,8,1,0,5,4,1,3,6,1,1,0.19,0.12,0.22,0,0,0,15.12,8,8.5,1,0.09,0,0,0.62,0.67,0.67
